,"國民所得統計常用資料",
,,,,,,,,,,,,,,,""
"統計期","期中人口(人)","平均匯率(元/美元)","經濟成長率(%)","國內生產毛額GDP(名目值，百萬元)","國內生產毛額GDP(名目值，百萬美元)","平均每人GDP(名目值，元)","平均每人GDP(名目值，美元)","國民所得毛額GNI(名目值，百萬元)","國民所得毛額GNI(名目值，百萬美元)","平均每人GNI(名目值，元)","平均每人GNI(名目值，美元)","國民所得(名目值，百萬元)","國民所得(名目值，百萬美元)","平均每人所得(名目值，元)","平均每人所得(名目值，美元)"
"101年",23270367,29.62,2.22,14677765,495536,630749,21295,15109951,510127,649322,21922,12496672,421900,537021,18130
"102年",23344670,29.77,2.48,15270728,512957,654142,21973,15673232,526477,671384,22552,13194356,443210,565198,18985
"103年",23403635,30.37,4.72,16258047,535332,694680,22874,16697152,549791,713443,23492,14212193,467968,607264,19996
"104年",23462914,31.91,1.47,17055080,534474,726895,22780,17494741,548253,745634,23367,14860645,465705,633367,19849
"105年",23515945,32.33,2.17,17555268,543002,746526,23091,18006409,556957,765711,23684,15305453,473413,650854,20132
"106年",23555522,30.44,3.31,17983347,590780,763445,25080,18430708,605477,782437,25704,15733800,516879,667945,21943
"107年",23580080,30.16,2.79,18375022,609251,779260,25838,18789823,623005,796852,26421,15968442,529458,677201,22454
"108年",23596027,30.93,3.06,18908632,611336,801348,25908,19384783,626731,821527,26561,16312542,527402,691326,22351
"109年",23582179,29.58,3.39,19914806,673252,844485,28549,20486586,692582,868732,29369,17232544,582574,730744,24704
"110年",23468275,28.02,6.53,21738982,775838,926314,33059,22197466,792201,945850,33756,18806943,671197,801377,28600
"111年",23319977,29.81,2.35,22666522,761400,975194,32756,23295642,782520,1002246,33664,19462667,653836,837339,28128


"註解："
"2023Q1為修正數，2023Q2為初步統計數。"
""
