Year,Leading Economic Index,Coincident Index,Monitoring indicator
71,12.85,12.92,0
72,15.55,15.7,0
73,15.86,16.28,21
74,16.59,16.24,22
75,19.29,20.46,37
76,21.24,21.73,32
77,23.1,22.92,32
78,23.08,22.04,25
79,20.88,22.49,15
80,24.97,24.86,28
81,24.87,25.17,24
82,26.89,26.32,27
83,29.71,29.24,31
84,26.63,28.77,16
85,30.98,30.76,28
86,33.05,32.83,29
87,32.76,33.52,14
88,39.21,37.76,28
89,35.82,39.49,16
90,36.55,35.34,15
91,38.88,39.32,24
92,45.48,44.47,34
93,46.19,46.5,26
94,49.24,50.1,27
95,52.29,51.4,16
96,55.08,57.3,29
97,43.57,42.54,9
98,58.78,55.44,37
99,64,64.59,34
100,62.86,63.68,14
101,66.17,66.01,22
102,71.32,69.23,24
103,72.37,73.25,22
104,71.62,69.9,14
105,76.34,76.03,28
106,79.23,79.71,22
107,80.59,80.42,16
108,84.85,84.38,27
109,96.01,93.59,34
110,99.53,101.75,38
111,92.69,89.84,12
