,RU@ROC.a,RU@US.a,RU@JAP.a,RU@GER.a,RU@FRA.a,RU@UK.a,RU@ITA.a,RU@SKOR.a,RU@SING.a,RU@HK.a,RU@PRC.a
,失業率 - 中華民國 (%),失業率 - 美國 (%),失業率 - 日本 (%),失業率 - 德國 (%),失業率 - 法國 (%),失業率 - 英國 (%),失業率 - 義大利 (%),失業率 - 南韓 (%),失業率 - 新加坡 (%),失業率 - 香港 (%),失業率 - 中國大陸 (%)
,Unemployment Rate - R_O_C_ (%),Unemployment Rate - U_S_A_ (%),Unemployment Rate - Japan (%),Unemployment Rate - Germany (%),Unemployment Rate - France (%),Unemployment Rate - U_K_ (%),Unemployment Rate - Italy (%),Unemployment Rate - Korea (South) (%),Unemployment Rate - Singapore (%),Unemployment Rate - H_K_ (%),Unemployment Rate - P_R_C_ (%)
DATE,%,%,%,%,%,%,%,%,%,%,%
2000,2.99,3.99,4.75,7.92,10.22,5.37,10.05,4.07,3.70,5.11,3.10
2001,4.57,4.73,5.02,7.77,8.61,5.00,9.01,3.71,3.70,4.93,3.60
2002,5.17,5.79,5.39,8.48,8.70,5.13,8.48,3.05,4.50,7.23,4.00
2003,4.99,5.99,5.25,9.78,8.51,4.95,8.43,3.35,5.23,7.93,4.30
2004,4.44,5.53,4.74,10.73,8.90,4.70,8.05,3.42,4.43,6.88,4.20
2005,4.13,5.09,4.45,11.18,8.88,4.79,7.78,3.49,4.13,5.70,4.20
2006,3.91,4.63,4.19,10.28,8.85,5.35,6.87,3.26,3.55,4.83,4.10
2007,3.91,4.62,3.89,8.54,8.02,5.28,6.15,3.02,2.95,4.12,4.00
2008,4.14,5.78,4.00,7.43,7.43,5.62,6.78,2.96,3.23,3.43,4.20
2009,5.85,9.25,5.07,7.23,9.12,7.55,7.88,3.36,4.33,5.22,4.30
2010,5.21,9.63,5.10,6.58,9.28,7.81,8.54,3.33,3.13,4.42,4.10
2011,4.39,8.95,4.55,7.90,9.22,8.06,8.51,3.00,2.88,3.47,4.10
2012,4.24,8.07,4.36,7.60,9.76,7.93,10.88,2.82,2.83,3.30,4.10
2013,4.18,7.38,4.04,7.70,10.30,7.55,12.38,2.75,2.78,3.40,4.05
2014,3.96,6.17,3.59,7.50,10.28,6.14,12.83,3.08,2.73,3.24,4.10
2015,3.78,5.28,3.39,7.10,10.35,5.33,12.00,3.55,2.78,3.30,4.05
2016,3.92,4.87,3.13,6.80,10.07,4.83,11.75,3.65,2.95,3.38,4.02
2017,3.76,4.36,2.82,6.30,9.43,4.35,11.26,3.65,2.20,3.15,3.90
2018,3.71,3.90,2.47,5.20,9.03,4.02,10.60,3.83,2.10,2.81,3.80
2019,3.73,3.67,2.35,5.00,8.43,3.77,9.93,3.75,2.30,2.96,3.62
2020,3.85,8.09,2.81,5.90,8.03,4.40,9.30,3.93,3.00,5.84,4.24
2021,3.95,5.35,2.82,5.70,7.88,4.60,9.56,3.65,2.70,5.41,3.96
2022,3.67,3.64,2.60,5.30,7.32,3.70,8.08,2.86,2.10,4.30,5.60
2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
